year,department,sex,age_group,value
2010,37,All,5-9,35398
2010,37,All,10-14,35000
2010,37,All,15-19,38602
2010,37,All,20-24,39782
2010,37,All,25-29,34378
2010,37,All,30-34,32500
2010,37,All,35-39,39699
2010,37,All,40-44,40022
2010,37,All,45-49,39965
2010,37,All,50-54,39976
2010,37,All,55-59,39141
2010,37,All,60-64,35940
2010,37,All,65-69,24704
2010,37,All,70-74,24264
2010,37,All,75-79,22695
2010,37,All,80-84,17818
2010,37,All,85-89,12220
2010,37,All,90-94,3334
2010,37,All,95+,1704
2010,37,All,Total,590515
2010,38,All,0-4,79034
2010,38,All,5-9,80312
2010,38,All,10-14,77691
2010,38,All,15-19,78622
2010,38,All,20-24,80598
2010,38,All,25-29,74397
2010,38,All,30-34,75157
2010,38,All,35-39,87340
2010,38,All,40-44,86717
2010,38,All,45-49,84391
2010,38,All,50-54,77390
2010,38,All,55-59,74418
2010,38,All,60-64,67950
2010,38,All,65-69,48553
2010,38,All,70-74,41488
2010,38,All,75-79,38369
2010,38,All,80-84,29282
2010,38,All,85-89,18188
2010,38,All,90-94,4394
2010,38,All,95+,2083
2010,38,All,Total,1206374
2010,39,All,0-4,15136
2010,39,All,5-9,16579
2010,39,All,10-14,16484
2010,39,All,15-19,15329
2010,39,All,20-24,12655
2010,39,All,25-29,13624
2010,39,All,30-34,14029
2010,39,All,35-39,17586
2010,39,All,40-44,18725
2010,39,All,45-49,18426
2010,39,All,50-54,17845
2010,39,All,55-59,17566
2010,39,All,60-64,17269
2010,39,All,65-69,12007
2010,39,All,70-74,11147
2010,39,All,75-79,10589
2010,39,All,80-84,8668
2010,39,All,85-89,5787
2010,39,All,90-94,1428
2010,39,All,95+,655
2010,39,All,Total,261534
2010,40,All,0-4,20446
2010,40,All,5-9,22520
2010,40,All,10-14,22383
2010,40,All,15-19,19681
2010,40,All,20-24,16694
2010,40,All,25-29,18998
2010,40,All,30-34,20598
2010,40,All,35-39,26725
2010,40,All,40-44,27468
2010,40,All,45-49,27761
2010,40,All,50-54,26339
2010,40,All,55-59,27253
2010,40,All,60-64,27328
2010,40,All,65-69,19252
2010,40,All,70-74,18511
2010,40,All,75-79,17040
2010,40,All,80-84,13195
2010,40,All,85-89,8632
2010,40,All,90-94,2242
2010,40,All,95+,1254
2010,40,All,Total,384320
2010,41,All,0-4,19323
2010,41,All,5-9,20004
2010,41,All,10-14,19663
2010,41,All,15-19,18274
2010,41,All,20-24,15059
2010,41,All,25-29,16352
2010,41,All,30-34,17314
2010,41,All,35-39,22017
2010,41,All,40-44,22730
2010,41,All,45-49,22389
2010,41,All,50-54,22640
2010,41,All,55-59,23176
2010,41,All,60-64,22147
2010,41,All,65-69,14862
2010,41,All,70-74,15629
2010,41,All,75-79,15136
2010,41,All,80-84,11926
2010,41,All,85-89,8297
2010,41,All,90-94,2020
2010,41,All,95+,1121
2010,41,All,Total,330079
2010,42,All,0-4,45310
2010,42,All,5-9,46070
2010,42,All,10-14,44699
2010,42,All,15-19,46946
2010,42,All,20-24,44134
2010,42,All,25-29,42777
2010,42,All,30-34,41492
2010,42,All,35-39,49123
2010,42,All,40-44,49148
2010,42,All,45-49,48965
2010,42,All,50-54,48501
2010,42,All,55-59,50323
2010,42,All,60-64,48842
2010,42,All,65-69,32485
2010,42,All,70-74,32693
2010,42,All,75-79,31084
2010,42,All,80-84,24714
2010,42,All,85-89,15735
2010,42,All,90-94,3997
2010,42,All,95+,1909
2010,42,All,Total,748947
2010,43,All,0-4,12546
2010,43,All,5-9,14004
2010,43,All,10-14,13696
2010,43,All,15-19,12511
2010,43,All,20-24,10129
2010,43,All,25-29,10766
2010,43,All,30-34,11927
2010,43,All,35-39,15078
2010,43,All,40-44,15903
2010,43,All,45-49,15496
2010,43,All,50-54,15768
2010,43,All,55-59,15602
2010,43,All,60-64,15383
2010,43,All,65-69,10077
2010,43,All,70-74,10488
2010,43,All,75-79,9867
2010,43,All,80-84,7756
2010,43,All,85-89,5145
2010,43,All,90-94,1163
2010,43,All,95+,701
2010,43,All,Total,224006
2010,44,All,0-4,83202
2010,44,All,5-9,84925
2010,44,All,10-14,81294
2010,44,All,15-19,82420
2010,44,All,20-24,82791
2010,44,All,25-29,80325
2010,44,All,30-34,80704
2010,44,All,35-39,92146
2010,44,All,40-44,88943
2010,44,All,45-49,88083
2010,44,All,50-54,83141
2010,44,All,55-59,81360
2010,44,All,60-64,74840
2010,44,All,65-69,46717
2010,44,All,70-74,46569
2010,44,All,75-79,41958
2010,44,All,80-84,33178
2010,44,All,85-89,21772
2010,44,All,90-94,5199
2010,44,All,95+,2485
2010,44,All,Total,1282052
2010,45,All,0-4,42545
2010,45,All,5-9,42534
2010,45,All,10-14,40376
2010,45,All,15-19,40302
2010,45,All,20-24,39666
2010,45,All,25-29,40020
2010,45,All,30-34,39172
2010,45,All,35-39,45603
2010,45,All,40-44,44809
2010,45,All,45-49,44159
2010,45,All,50-54,43297
2010,45,All,55-59,43471
2010,45,All,60-64,40462
2010,45,All,65-69,26215
2010,45,All,70-74,24973
2010,45,All,75-79,23372
2010,45,All,80-84,18279
2010,45,All,85-89,12212
2010,45,All,90-94,3106
2010,45,All,95+,1532
2010,45,All,Total,656105
2010,46,All,0-4,8135
2010,46,All,5-9,9066
2010,46,All,10-14,9362
2010,46,All,15-19,8839
2010,46,All,20-24,6731
2010,46,All,25-29,7532
2010,46,All,30-34,8098
2010,46,All,35-39,10505
2010,46,All,40-44,11419
2010,46,All,45-49,12359
2010,46,All,50-54,12794
2010,46,All,55-59,13231
2010,46,All,60-64,13687
2010,46,All,65-69,9760
2010,46,All,70-74,9531
2010,46,All,75-79,9167
2010,46,All,80-84,7419
2010,46,All,85-89,5154
2010,46,All,90-94,1181
2010,46,All,95+,608
2010,46,All,Total,174578
2010,47,All,0-4,17301
2010,47,All,5-9,18328
2010,47,All,10-14,18915
2010,47,All,15-19,17840
2010,47,All,20-24,15748
2010,47,All,25-29,16614
2010,47,All,30-34,16345
2010,47,All,35-39,20567
2010,47,All,40-44,22054
2010,47,All,45-49,23122
2010,47,All,50-54,22586
2010,47,All,55-59,23696
2010,47,All,60-64,23268
2010,47,All,65-69,17379
2010,47,All,70-74,16541
